id,name,price,final_price,discount,is_discounted,brand_id,category_id,tags,image_count,video_count,view_count,vote_count,is_active,is_discoverable
2eda16b6-db36-464e-a55b-8349cef4c580,Hot & Melt Candle Set,999,999,0,TRUE,f48d0a26-7c78-44e0-9dcf-5d945ca10f17,0181774c-41c6-439d-8d53-75c3848e2a54,Made in India|Hand Made,5,0,83,1,TRUE,TRUE
c9e8721d-a43a-4512-8326-c3e676cdcb12,GLACIER | Marble Clarity,15000,15000,0,FALSE,9902a5bd-fcd4-4f40-9d81-7d464b5c6b47,20640a30-9228-4b69-91db-024c45920487,Luxury ,3,0,81,0,TRUE,TRUE
4c43ff55-6a9c-44d4-8c3f-6cc72d11608a,MICRO ROUND BRACELET  (GOLD),599,539.1,10,TRUE,add0588c-9141-496a-90c0-b2e3053342b2,eb232420-804d-4165-9cbe-8266ababcbee,Jewellery|Aesthetic,4,0,80,0,TRUE,TRUE
57ae59d5-6d93-4d4a-b2d6-8f4b24d24b93,ONYX STONE PENDANT WITH CHAIN (SILVER),1199,1079.1,10,TRUE,add0588c-9141-496a-90c0-b2e3053342b2,eb232420-804d-4165-9cbe-8266ababcbee,Jewellery|Aesthetic,5,0,78,0,TRUE,TRUE
1e3a2c41-5762-435d-bcdb-58457e741953,Eliso LED Katana | Tanjiro Kamado – Demon Slayer,2799,2799,0,FALSE,60219f13-e7c0-4933-bd9c-5c2650419402,eb232420-804d-4165-9cbe-8266ababcbee,,3,0,76,0,TRUE,TRUE
147e5728-cfd7-4340-8668-6f2cf1514cd7,SHAW Tote Bag (Forest),2093,1779.05,15,TRUE,48ccd874-b1cd-4805-b0cc-d6fa863b1212,2744b95e-36ee-4abb-b896-225a7d22d728,Made in India|Unisex|Hand Made,10,0,75,0,TRUE,TRUE
e0599803-ee1e-498b-883f-e6b019b37dde,SOLACE | Lunar Rhythm,20000,20000,0,FALSE,9902a5bd-fcd4-4f40-9d81-7d464b5c6b47,20640a30-9228-4b69-91db-024c45920487,Luxury ,3,0,74,0,TRUE,TRUE
0a396a41-e76a-43ed-a4b9-b0ae5451b32a,NOVA | Timeless Clarity,20000,20000,0,FALSE,9902a5bd-fcd4-4f40-9d81-7d464b5c6b47,20640a30-9228-4b69-91db-024c45920487,Luxury ,8,0,73,0,TRUE,TRUE
ac7ffb6c-1f0f-4f2a-9aac-9dae3454f6e2,ROPE BRACELET (GOLD),599,539.1,10,TRUE,add0588c-9141-496a-90c0-b2e3053342b2,eb232420-804d-4165-9cbe-8266ababcbee,Jewellery|Aesthetic,4,0,73,2,TRUE,TRUE
1bc4ae3c-407a-41e0-a940-29369010377b,Botany,1199,1199,0,FALSE,60219f13-e7c0-4933-bd9c-5c2650419402,eb232420-804d-4165-9cbe-8266ababcbee,,10,0,72,0,TRUE,TRUE
e7181cfb-d734-4273-9525-2ca4782941b4,DRIFT | Casual Precision,15000,15000,0,FALSE,9902a5bd-fcd4-4f40-9d81-7d464b5c6b47,20640a30-9228-4b69-91db-024c45920487,Luxury ,3,0,71,0,TRUE,TRUE
1f51d144-426e-43b0-bf71-6376a688a329,Astoria,2499,2499,0,FALSE,60219f13-e7c0-4933-bd9c-5c2650419402,eb232420-804d-4165-9cbe-8266ababcbee,,8,0,70,0,TRUE,TRUE
3df3b54f-9b37-4518-a43c-60e95c6a35a8,MICRO PULSE BRACELET (GOLD),599,539.1,10,TRUE,add0588c-9141-496a-90c0-b2e3053342b2,eb232420-804d-4165-9cbe-8266ababcbee,Jewellery|Aesthetic,2,0,70,0,TRUE,TRUE
3c93df1f-3523-4ee5-a3ef-f4a630bddd12,SHAW Tote Bag,2093,1779.05,15,TRUE,48ccd874-b1cd-4805-b0cc-d6fa863b1212,2744b95e-36ee-4abb-b896-225a7d22d728,Made in India|Unisex|Hand Made,9,0,69,0,TRUE,TRUE
f5f82135-4928-4a7c-a54b-9cc866fa13df,SQUAT PRO S1 – Flat Sole Powerlifting Squat Shoes for Deep Stability (Dusk Pink),8900,8900,0,FALSE,60219f13-e7c0-4933-bd9c-5c2650419402,ba4ed8a0-5dac-4390-bc61-9446e374ab3b,,3,0,67,0,TRUE,TRUE
e9b68604-079b-424d-b07f-1bfded6e137c,Recovery Duo - Cryo Gel + Epsom Salts Body Wash,699,524.25,25,TRUE,cf74e236-aa08-4c8f-beec-873932760bc4,ba4ed8a0-5dac-4390-bc61-9446e374ab3b,Smash Your Goals,5,1,66,2,TRUE,TRUE
