name,price,discount,final_price,view_count,vote_count,discount_code,product_url
ROCKSTA Y2K JERSEY,899,0,899,58,0,,https://www.toastd.in/product/rocksta-y2k-jersey
Daily Fiber | Vanilla Berry Flavour,854,0,854,54,0,,https://www.toastd.in/product/daily-fiber-supplement-vanilla-berry
Aurora Vegan Leather Sling,7800,20,6240,53,0,TOASTD20,https://www.toastd.in/product/greenhermitage-aurora-vegan-leather-sling
Ajax Vegan Leather Duffle Bag - Beige,15800,20,12640,52,0,TOASTD20,https://www.toastd.in/product/greenhermitage-ajax-vegan-leather-duffle-bag
RICH MAN CROP TEE,800,10,720,52,3,TOASTD10,https://www.toastd.in/product/ctrlplus-baby-tee
Chocolate 25g Plant Protein - Pack of 1kg - Sport,3289,0,3289,52,0,,https://www.toastd.in/product/chocolate-pouch-1kg
Wave Bookshelf,3690,0,3690,51,0,,https://www.toastd.in/product/wave-bookshelf
MICRO BOX CHAIN (SILVER),599,10,539.1,51,0,Toastd10,https://www.toastd.in/product/grytt-micro-box-chain-silver
f*#k the system! - white,2999,0,2999,50,0,,https://www.toastd.in/product/tshirt-system-white
QAVA Energy Shot (Pack of 4),596,0,596,49,0,,https://www.toastd.in/product/qava-energy-shots-60ml
NeuroGum Energy Caffeine Gums - Cinnamon (30 Pieces: 15 X 2 gum sachets),660,0,660,49,0,,https://www.toastd.in/product/neurogum-energy-caffeine-gums-cinnamon-30-pieces-15-x-2-gum-sachets
Retro GameBox 500 Games in 1,1399,0,1399,49,0,,https://www.toastd.in/product/retro-500
Easy Poncho Crochet Pattern,793.51,0,793.51,48,0,,https://www.toastd.in/product/poncho
Aurora Prism,3700,0,3700,47,0,,https://www.toastd.in/product/sunday-hours
NightShot- Spotify LED Lamp,1149,0,1149,47,0,,https://www.toastd.in/product/nightshot-led-spotify-plaques-1
Car Comfort Bundle | 8 Items,1899,0,1899,47,0,,https://www.toastd.in/product/car-comfort-box
Acacia Vegan Leather Laptop Sleeve - Black,9200,20,7360,46,0,TOASTD20,https://www.toastd.in/product/greenhermitage-acacia-vegan-leather-laptop-sleeve-black
The Grow Light Planter,4789,0,4789,45,0,,https://www.toastd.in/product/the-grow-light-planter
Pro Sling Crossbody Bag (2L),750,0,750,44,0,,https://www.toastd.in/product/carry-pro--sling-crossbody-fanny-bag
Coffee Brown Cup,1999,0,1999,44,0,,https://www.toastd.in/product/todays-coffee-brown-cup
Firstdraft Note. Powered by AI.,899,0,899,43,0,,https://www.toastd.in/product/firstdraft-note
Whey91 Strawberry Splash Protein Bars - 20g Protein 7.2g Fibre (Pack of 6 bars),599,0,599,43,0,,https://www.toastd.in/product/whey91-strawberry-splash-protein-bars
Serum + Sunscreen Duo,4750,0,4750,43,0,,https://www.toastd.in/product/the-everyday-shield
FROSTED PRESSING HOOP/CUFF (BLACK NON-PIERCED),399,10,359.1,42,1,TOASTD10,https://www.toastd.in/product/grytt-frosted-pressing-hoop-cuff-black-non-pierced
Bouche Print Oversized White T-shirt,999,0,999,41,1,,https://www.toastd.in/product/bouche-print-oversized-white-t-shirt-women
Coffee Before Commitment Flask,1500,0,1500,41,0,,https://www.toastd.in/product/muse-mug
Aero Long Sleeve with Thumb Hole – Dusty Fig,1999,0,1999,40,0,,https://www.toastd.in/product/aero-long-sleeve-with-thumb-hole-icy-pink
Restore your Sleep THINS,1334,0,1334,40,0,,https://www.toastd.in/product/restore-your-sleep-thins
Spider-Man Edge Wireless Speaker,1699,5,1614.05,39,0,TOASTD5,https://www.toastd.in/product/spider-man-edge
Car Mini Analog Clock,499,0,499,39,0,,https://www.toastd.in/product/car-sticker-watch
Iris - Gingerbread & Black,2400,20,1920,38,0,TOASTD20,https://www.toastd.in/product/greenhermitage-iris-gingerbread-black
Whey Protein - Chocolate with Pink Himalayan Salt,3299,0,3299,34,0,,https://www.toastd.in/product/premium-whey-protein-powder-chocolate-with-pink-himalayan-salt
Never Have I Ever Cards,399,0,399,34,0,,https://www.toastd.in/product/never-have-i-ever-cards
Juniper Vegan Leather Sling Bag - Black,7450,20,5960,34,0,TOASTD20,https://www.toastd.in/product/greenhermitage-juniper-vegan-leather-sling-bag-black
ROUND BLACK STUD - (MAGNETIC NON-PIERCED),599,10,539.1,33,0,Toastd10,https://www.toastd.in/product/grytt-round-black-stud-magnetic-non-pierced
VICTORY LAP POLO T-SHIRT,1899,10,1709.1,33,0,TOASTD10,https://www.toastd.in/product/ctrlplus-victory-lap-polo-t-shirt
Sirius // Magma,5250,0,5250,32,0,,https://www.toastd.in/product/sirius-magma
Lewis Hamilton F1 Racing Team Edition T-shirt 2.0 | Black 100% Cotton,1249,0,1249,32,0,,https://www.toastd.in/product/lewis-hamilton-new-f1-racing-team-edition-black-cotton-t-shirt-2-0
Black Graffiti Sweatshirt,2399,0,2399,31,0,,https://www.toastd.in/product/black-graffiti-sweatshirt
Acacia Vegan Leather Laptop Sleeve - Olive,9200,20,7360,30,0,TOASTD20,https://www.toastd.in/product/greenhermitage-acacia-vegan-leather-laptop-sleeve-olive
"Iris Vegan Leather Cardholder - Tawny Brown, Tan Matt",1800,20,1440,30,0,TOASTD20,https://www.toastd.in/product/greenhermitage-iris-vegan-leather-cardholder-tawny-brown-tan-matt
Fresh Reset Body Duo,1900,0,1900,30,0,,https://www.toastd.in/product/fresh-reset-body-duo-1
Paradise Sweater,899,0,899,29,0,,https://www.toastd.in/product/paradise-sweater
Sotally Tober,899,0,899,29,0,,https://www.toastd.in/product/sotally-tober
Aurora Prism,1650,0,1650,29,0,,https://www.toastd.in/product/aurora-prism
Day-care routine - set of 2,1098,0,1098,29,0,,https://www.toastd.in/product/day-care-routine
BRASIL 🇧🇷 TANK TOP,1299,0,1299,28,0,,https://www.toastd.in/product/brazil-tank-top
Snugs 1 Dior,2250,0,2250,28,0,,https://www.toastd.in/product/shoes-nike-dior
ANCHOR PENDANT WITH CHAIN (SILVER),1199,10,1079.1,28,0,Toastd10,https://www.toastd.in/product/grytt-anchor-pendant-with-chain-silver
Fresh Reset Body Cleanser,900,0,900,27,0,,https://www.toastd.in/product/body-cleanser
MICRO FLAT TWISTED BRACELET (SILVER),599,10,539.1,27,0,Toastd10,https://www.toastd.in/product/grytt-micro-flat-twisted-bracelet-gold-copy
Cats Playing Cards A5 Notebook,499,0,499,27,0,,https://www.toastd.in/product/cats-playing-cards-a5-notebook
TRIDENT PENDANT WITH CHAIN (GOLD),799,10,719.1,26,0,Toastd10,https://www.toastd.in/product/grytt-trident-pendant-with-chain-gold
CUBAN BRACELET 8MM (SILVER),899,10,809.1,26,0,Toastd10,https://www.toastd.in/product/grytt-cuban-bracelet-8mm-silver
PRESSING HOOP - (GOLD UNPIERCED),299,10,269.1,26,0,Toastd10,https://www.toastd.in/product/grytt-pressing-hoop-gold
DOG TAG CHAIN (GOLD),999,10,899.1,26,0,Toastd10,https://www.toastd.in/product/grytt-dog-tag-chain-gold
Moonchild Pixel Art Oversized Off-White T-shirt,1049,0,1049,26,0,,https://www.toastd.in/product/moonchild-pixel-art-oversized
FROSTED HOOP - (SILVER PIERCED),399,10,359.1,26,1,Toastd10,https://www.toastd.in/product/grytt-frosted-hoop-silver
Juniper Vegan Leather Sling Bag - Green,7450,20,5960,25,0,TOASTD20,https://www.toastd.in/product/greenhermitage-juniper-vegan-leather-sling-bag-green
Gengar Controller Stand for PS5,749,0,749,25,0,,https://www.toastd.in/product/gengar-controller-stand-for-ps5
Ajax Vegan Leather Duffle Bag - Black & Green,15800,20,12640,25,0,TOASTD20,https://www.toastd.in/product/greenhermitage-ajax-vegan-leather-duffle-bag-1
