id,name,view_count,tape_view_count,vote_count,is_upvoted,created_on,launched_on
21be4337-d5a4-426e-987a-ef2f5fce72f0,Kanye West Vinyl Records Poster,1605,0,23,FALSE,2025-03-26T17:04:02.786,2025-03-14T17:07:00
2710682e-ded2-47b1-96e1-698a39283b9b,MUSIC CD DECOR SET - RAP,1561,0,1,FALSE,2025-07-17T22:54:17.242,2025-07-04T23:15:00
7e7a26e5-52db-4a2b-9bab-ab334b992c1f,Aquatein Electrolyte Water,1450,0,14,FALSE,2025-07-09T13:26:18.729,2025-07-04T13:35:00
ec9de733-566e-4620-9869-f80f497f6fd7,Ferrari F1 Car Rug,1384,0,6,FALSE,2025-07-10T10:45:01.61,2025-07-04T11:04:00
9a7ee3e3-9bcd-4ebb-98c8-2441244f1eab,Anti Social Traditional Design Rug,1343,0,1,FALSE,2025-07-24T12:00:36.493,2025-07-12T12:34:00
f5cbd619-ccfe-4083-8a0b-efdff90a9722,DIY Shadu Mati Ganpati Kit,1333,0,2,FALSE,2025-07-23T07:58:23.439,2025-07-09T08:34:00
2bc28067-6918-448d-b5b4-6d1ec435a75b,Kiwi Salt Electrolytes- 10 Sticks,1325,0,10,FALSE,2025-06-01T17:16:43.873,2025-06-01T17:23:00
b79edebd-02be-494c-a7a7-4991b651c3e5,AESTHETIC TRAFFIC MIRROR,1315,0,21,FALSE,2025-04-22T20:00:24.039,2025-04-03T20:09:00
4538b94e-774f-431f-a609-175a9104e33d,DIY Perfume Kit,1309,0,9,FALSE,2025-04-14T16:55:43.156,2025-04-10T16:59:00
0d86e46b-cfee-46af-be7e-acd310f2267a,Aruval / GHOST,1301,0,3,FALSE,2025-07-31T08:20:15.623,2025-07-17T09:49:00
24d46107-755a-4f93-82d5-bfc7b172fc47,Guava Salt Electrolytes- 10 Sticks,1256,0,13,FALSE,2025-06-01T16:57:28.899,2025-06-01T16:59:00
ad791091-ca00-45dc-aa9a-6b62774a4588,Creatine Hcl Original | 100% Pure,1246,0,3,FALSE,2025-03-25T08:48:21.211,2025-07-16T21:50:00
4cbc2246-e6fc-4133-87c5-f28a81de9c03,Silverstone 3D F1 Wall Frame,1235,0,9,FALSE,2025-06-07T09:09:46.6,2025-06-02T09:46:00
c3f648c5-2e3e-4971-9233-5a24d41e6c8e,Raw Rolling Paper Rug,1201,0,5,FALSE,2025-07-10T10:26:42.805,2025-07-04T10:33:00
54078b11-c60e-4a97-8812-aa61541b8ea3,Goodyear Welted Black Crust Zipper Chelsea Boot,1201,0,2,FALSE,2025-06-07T12:02:23.989,2025-06-07T12:10:00
5a42e9da-0c48-47da-b3ac-2e45d6a47bd8,"SUKOON | For Sleep, Relaxation, Stress & Anxiety ",1194,0,25,FALSE,2025-04-14T15:28:41.07,2025-04-03T15:35:00
b8a8b6d4-6f6b-442b-8858-388268c5e775,Assorted Protein Box (Pack of 6) - 420g,1192,0,8,FALSE,2025-09-04T11:04:13.267,2025-09-04T11:07:00
a24def60-4e38-454c-9f6f-4838e1f2c9dc,3D Printed portable table lamp,1188,0,78,FALSE,2025-05-10T22:01:27.873,2025-05-03T22:07:00
7b9d9a57-d3e9-4715-9242-a2fc2603cb4c,Ferrari Roma Set,1187,0,8,FALSE,2025-04-30T16:49:23.232,2025-04-30T16:55:00
7ff07408-4832-44dd-809e-baa58ebb02f5,DIY Taco Kit for 2,1177,0,4,FALSE,2025-07-10T20:35:47.204,2025-07-04T20:46:00
5037c32f-4dc6-4f06-86b4-3125b0cd1fef,Heart Hoops Earrings,1169,0,2,FALSE,2025-08-15T10:03:53.84,2025-08-16T08:22:00
1c8eb8dd-a1e1-49a8-ad1e-25efbdb2d63f,PUREREST MOUTH TAPE by PureFlow,1166,0,13,FALSE,2025-04-14T18:10:09.202,2025-04-05T18:13:00
